,year,TEU COUNT_Total_Total,TEU COUNT_Total_Empty,TEU COUNT_Total_Laden,TEU COUNT_Import_Total,TEU COUNT_Import_Empty,TEU COUNT_Import_Laden,TEU COUNT_Export_Total,TEU COUNT_Export_Empty,TEU COUNT_Export_Laden,Container COUNT_Total_Total,Container COUNT_Total_Empty,Container COUNT_Total_Laden,Container COUNT_Import_Total,Container COUNT_Import_Empty,Container COUNT_Import_Laden,Container COUNT_Export_Total,Container COUNT_Export_Empty,Container COUNT_Export_Laden,ds
2,2008,2492107,338291,2153816,1294308,55958,1238350,1197799,282334,915465,1435127,199852,1235275,744430,30588,713842,690697,169264,521433,2008-01-01
15,2009,2152462,219747,1932715,1122849,115546,1007304,1029613,104201,925411,1235813,126412,1109401,644952,64457,580495,590861,61955,528906,2009-01-01
28,2010,2514309,340337,2173972,1296946,63894,1233051,1217364,276443,940921,1451308,203793,1247515,747921,37249,710672,703387,166544,536843,2010-01-01
44,2011,2507032,272722,2234310,1320610,86026,1234585,1186422,186697,999725,1442956,168683,1274273,762344,47149,715195,680612,121534,559078,2011-01-01
57,2012,2713160,314962,2398198,1451309,101934,1349375,1261852,213028,1048824,1566704,191400,1375304,840685,54978,785707,726019,136422,589597,2012-01-01
70,2013,2825475,281329,2544146,1507992,89464,1418527,1317483,191865,1125619,1639924,173412,1466512,877628,53135,824493,762296,120277,642019,2013-01-01
86,2014,2912900,368146,2544755,1556678,57599,1499079,1356223,310547,1045676,1692797,216123,1476674,906154,36025,870129,786643,180098,606545,2014-01-01
99,2015,3054467,446046,2608421,1580846,38458,1542388,1473621,407588,1066034,1770364,265297,1505067,915394,25578,889816,854970,239719,615251,2015-01-01
112,2016,2929585,322957,2606628,1554139,48197,1505942,1375446,274760,1100686,1692276,196792,1495484,896727,30181,866546,795549,166611,628938,2016-01-01
128,2017,3252220,472775,2779445,1713247,35447,1677800,1538973,437328,1101645,1864211,273472,1590739,978535,19064,959471,885676,254408,631268,2017-01-01
141,2018,3396449,533461,2862988,1781069,37671,1743399,1615380,495791,1119590,1939748,300421,1639327,1014949,21107,993842,924799,279314,645485,2018-01-01
154,2019,3398860,567489,2831371,1740869,31471,1709398,1657992,536019,1121973,1938613,313687,1624926,991146,21850,969296,947467,291837,655630,2019-01-01
170,2020,3467521,626869,2840651,1854200,56617,1797582,1613321,570252,1043069,1979426,351103,1628323,1056610,48199,1008411,922816,302904,619912,2020-01-01
183,2021,3678952,891509,2787443,1923621,14604,1909017,1755333,876907,878429,2061176,483201,1577975,1080625,10689,1069936,980551,472512,508039,2021-01-01
196,2022,3557294,1018882,2538412,1844642,9235,1835407,1712652,1009647,703005,1980105,550372,1429733,1033165,5322,1027843,946940,545050,401890,2022-01-01
212,2023,3126559,769893,2356666,1617555,15636,1601919,1509004,754257,754747,1752436,412430,1340006,913192,8916,904276,839244,403514,435730,2023-01-01
225,2024,3200415,799831,2400584,1683988,7104,1676883,1516428,792727,723701,1784650,433592,1351058,942339,6156,936183,842311,427436,414875,2024-01-01
